label,label_animal,timestamp,animal_id,progresion,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
sana,sana,2026-03-19 11:05:00,COW_005,0.0,38.8,1,62.2,41.17,51.84,0,-34.619188,-60.920951,64.2,0.77
sana,sana,2026-03-19 11:10:00,COW_005,0.0006,38.38,1,61.8,47.25,59.14,0,-34.619187,-60.920951,150.0,1.8
sana,sana,2026-03-19 11:15:00,COW_005,0.0012,37.91,1,64.7,41.98,60.82,0,-34.619187,-60.920951,56.7,0.68
sana,sana,2026-03-19 11:20:00,COW_005,0.0017,39.25,1,67.5,47.79,52.66,0,-34.619187,-60.920951,75.8,0.91
sana,sana,2026-03-19 11:25:00,COW_005,0.0023,38.78,1,62.0,57.1,72.04,0,-34.619187,-60.920951,25.0,0.3
sana,sana,2026-03-19 11:30:00,COW_005,0.0029,38.67,1,61.2,36.26,40.25,0,-34.619187,-60.920951,53.3,0.64
sana,sana,2026-03-19 11:35:00,COW_005,0.0035,39.2,1,44.3,54.17,75.66,0,-34.619187,-60.920951,45.8,0.55
sana,sana,2026-03-19 11:40:00,COW_005,0.0041,38.3,1,45.8,43.74,60.34,0,-34.619187,-60.920951,60.0,0.72
sana,sana,2026-03-19 11:45:00,COW_005,0.0046,39.72,0,54.1,57.18,69.56,0,-34.619187,-60.920951,21.7,0.26
sana,sana,2026-03-19 11:50:00,COW_005,0.0052,38.33,1,53.5,41.21,52.56,0,-34.619186,-60.920952,66.7,0.8
sana,sana,2026-03-19 11:55:00,COW_005,0.0058,38.42,0,48.7,45.16,58.34,0,-34.619186,-60.920952,45.8,0.55
sana,sana,2026-03-19 12:00:00,COW_005,0.0064,38.28,1,63.5,43.84,60.13,0,-34.619186,-60.920952,49.2,0.59
sana,sana,2026-03-19 12:05:00,COW_005,0.0069,38.67,1,67.2,53.57,69.42,0,-34.619186,-60.920952,21.7,0.26
sana,sana,2026-03-19 12:10:00,COW_005,0.0075,38.33,0,60.7,42.41,51.03,0,-34.619186,-60.920952,96.7,1.16
sana,sana,2026-03-19 12:15:00,COW_005,0.0081,38.72,0,53.2,53.67,67.26,0,-34.619186,-60.920953,73.3,0.88
sana,sana,2026-03-19 12:20:00,COW_005,0.0087,38.82,1,69.6,40.48,58.26,0,-34.619186,-60.920953,0.0,0.0
sana,sana,2026-03-19 12:25:00,COW_005,0.0093,38.57,1,62.2,52.03,66.76,0,-34.619186,-60.920953,99.2,1.19
sana,sana,2026-03-19 12:30:00,COW_005,0.0098,38.38,1,62.1,44.29,51.15,0,-34.619187,-60.920953,107.5,1.29
sana,sana,2026-03-19 12:35:00,COW_005,0.0104,37.94,1,61.4,40.18,49.02,0,-34.619187,-60.920953,101.7,1.22
sana,sana,2026-03-19 12:40:00,COW_005,0.011,38.86,1,55.3,47.26,66.16,0,-34.619187,-60.920953,42.5,0.51
sana,sana,2026-03-19 12:45:00,COW_005,0.0116,38.63,1,64.1,53.21,70.24,0,-34.619187,-60.920953,0.0,0.0
sana,sana,2026-03-19 12:50:00,COW_005,0.0122,38.53,1,60.1,41.76,55.99,0,-34.619187,-60.920953,36.7,0.44
sana,sana,2026-03-19 12:55:00,COW_005,0.0127,38.16,1,62.2,39.48,48.58,0,-34.619187,-60.920954,130.0,1.56
sana,sana,2026-03-19 13:00:00,COW_005,0.0133,38.47,1,48.9,33.64,40.03,0,-34.619187,-60.920953,114.2,1.37
sana,sana,2026-03-19 13:05:00,COW_005,0.0139,38.36,1,70.9,41.7,49.92,0,-34.619187,-60.920953,5.8,0.07
sana,sana,2026-03-19 13:10:00,COW_005,0.0145,38.66,0,65.3,40.99,57.3,0,-34.619187,-60.920953,95.0,1.14
sana,sana,2026-03-19 13:15:00,COW_005,0.015,38.1,1,50.4,42.58,57.93,0,-34.619186,-60.920953,74.2,0.89
sana,sana,2026-03-19 13:20:00,COW_005,0.0156,38.88,1,60.6,39.15,51.77,0,-34.619187,-60.920953,51.7,0.62
sana,sana,2026-03-19 13:25:00,COW_005,0.0162,38.08,1,59.4,45.35,60.57,0,-34.619187,-60.920953,118.3,1.42
sana,sana,2026-03-19 13:30:00,COW_005,0.0168,39.25,1,59.2,25.39,29.59,0,-34.619186,-60.920953,75.0,0.9
sana,sana,2026-03-19 13:35:00,COW_005,0.0174,39.45,1,64.7,43.43,62.64,0,-34.619186,-60.920953,87.5,1.05
